gid,year,mean,rank,district,Zone,Kwilu,Country
94,2002,2.486616477,6,Enarj Enawga, East Gojam,Amhara, Ethiopia
94,1984,2.501320091,5,Enarj Enawga, East Gojam,Amhara, Ethiopia
94,1987,2.551980958,4,Enarj Enawga, East Gojam,Amhara, Ethiopia
94,2003,2.559704749,3,Enarj Enawga, East Gojam,Amhara, Ethiopia
94,1994,2.606736,2,Enarj Enawga, East Gojam,Amhara, Ethiopia
94,2004,2.632576754,1,Enarj Enawga, East Gojam,Amhara, Ethiopia
95,2015,1.966368432,10,Enbise Sar Midir, East Gojam,Amhara, Ethiopia
95,1984,2.274974115,9,Enbise Sar Midir, East Gojam,Amhara, Ethiopia
95,1987,2.298023659,8,Enbise Sar Midir, East Gojam,Amhara, Ethiopia
95,2002,2.324980097,7,Enbise Sar Midir, East Gojam,Amhara, Ethiopia
95,1991,2.361550124,6,Enbise Sar Midir, East Gojam,Amhara, Ethiopia
95,1995,2.365915353,5,Enbise Sar Midir, East Gojam,Amhara, Ethiopia
95,2004,2.403572972,4,Enbise Sar Midir, East Gojam,Amhara, Ethiopia
95,1992,2.413067609,3,Enbise Sar Midir, East Gojam,Amhara, Ethiopia
95,2003,2.455427813,2,Enbise Sar Midir, East Gojam,Amhara, Ethiopia
95,1985,2.467183125,1,Enbise Sar Midir, East Gojam,Amhara, Ethiopia
